seed,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
1,24.517827033996582,5.8915252685546875,1.7054568529129028,2.397676706314087,1.515914797782898,4.637195587158203,2.3131487369537354,2.4009742736816406,3.868661403656006,8.360148429870605
2,26.467208862304688,7.621120929718018,1.7371106147766113,2.946913003921509,1.6185153722763062,5.321386337280273,2.8321454524993896,2.9396605491638184,4.531275749206543,9.385741233825684
3,24.650110006332397,5.115492820739746,1.6482700109481812,2.0624423027038574,1.642128825187683,5.962303638458252,2.5554323196411133,2.0565052032470703,3.060853958129883,7.10315465927124
4,24.338030099868774,5.771819114685059,1.7019269466400146,2.1294779777526855,1.532083511352539,5.237447261810303,2.386482000350952,2.1326546669006348,3.269796848297119,7.324006080627441
5,26.292844772338867,5.627746105194092,1.6662384271621704,2.9473607540130615,1.5842396020889282,5.535548686981201,2.948291540145874,2.948539972305298,4.389667987823486,8.947010040283203
6,26.35005211830139,5.708377838134766,1.6771315336227417,2.6202552318573,1.3772706985473633,4.861627578735352,2.6197266578674316,2.620051383972168,3.879230260848999,7.850255012512207
7,25.82704496383667,6.052752494812012,1.7495871782302856,2.9822094440460205,1.2742737531661987,5.004815578460693,2.9526286125183105,2.9941775798797607,4.190316677093506,7.8581318855285645
8,28.77401089668274,6.25858736038208,1.6702173948287964,3.330009937286377,1.654047966003418,6.5749101638793945,3.555863380432129,3.3242886066436768,4.612026691436768,9.070571899414062
9,32.53642702102661,4.4006171226501465,1.5405406951904297,1.728951096534729,1.2953777313232422,4.7179460525512695,2.0935511589050293,1.7343330383300781,2.543424606323242,5.763219833374023
10,36.369916915893555,5.208738327026367,1.692970633506775,1.913330316543579,1.4560881853103638,4.861119747161865,2.144731044769287,1.9184492826461792,3.012740135192871,6.849900245666504
11,39.63251209259033,5.616511344909668,1.6638143062591553,2.344247341156006,1.5523960590362549,5.280045986175537,2.5080292224884033,2.3482754230499268,3.600245714187622,7.825704097747803
12,37.55260419845581,5.742457866668701,1.7441223859786987,2.365231513977051,1.4491122961044312,5.523917198181152,2.6951181888580322,2.3691020011901855,3.3542089462280273,7.070339679718018
13,37.67639088630676,4.872827529907227,1.592568039894104,2.3901145458221436,1.1634382009506226,4.347881317138672,2.411980390548706,2.395878553390503,3.4284775257110596,6.740678787231445
14,39.425217628479004,4.422651290893555,1.551164984703064,1.6660524606704712,1.3913838863372803,5.117194175720215,2.1373910903930664,1.6666069030761719,2.4650392532348633,5.76494836807251
15,40.22044634819031,5.262537479400635,1.6261645555496216,2.0600292682647705,1.4585490226745605,5.133269786834717,2.3285975456237793,2.0530028343200684,3.111100435256958,6.954550743103027
16,39.36380386352539,5.048428535461426,1.5677107572555542,2.133089780807495,1.3332700729370117,4.638833045959473,2.265911340713501,2.1350960731506348,3.2176387310028076,6.8674187660217285
17,39.966036796569824,5.084996223449707,1.6054694652557373,2.4432218074798584,1.3634456396102905,4.90690803527832,2.540487766265869,2.444783926010132,3.5957822799682617,7.382619857788086
18,37.67342686653137,7.130765438079834,1.7388955354690552,2.4407522678375244,1.8160429000854492,5.364057540893555,2.450890064239502,2.443051815032959,4.086865425109863,9.356369972229004
19,40.919865131378174,5.296840667724609,1.641006588935852,1.890447735786438,1.452947974205017,5.584959030151367,2.4328787326812744,1.890798807144165,2.677764892578125,6.088894367218018
20,37.93940615653992,4.6306281089782715,1.53629469871521,1.8341352939605713,1.3519233465194702,4.506645202636719,2.026644706726074,1.841336727142334,2.88299822807312,6.475732803344727
21,41.23352098464966,4.976390361785889,1.6354820728302002,1.9042201042175293,1.3374443054199219,4.126305103302002,1.9017512798309326,1.9090973138809204,3.1339516639709473,6.936761379241943
22,39.44753408432007,6.9258623123168945,1.791965365409851,3.0038740634918213,1.658196210861206,5.8368682861328125,3.06707763671875,3.0087151527404785,4.465535640716553,9.159051895141602
23,43.852861166000366,5.813455104827881,1.7401692867279053,2.733140230178833,1.553434133529663,5.593001842498779,2.884296417236328,2.736745834350586,4.0034613609313965,8.286831855773926
24,41.750924825668335,4.977751731872559,1.6484113931655884,2.2762818336486816,1.4649795293807983,5.436015605926514,2.5979223251342773,2.279228448867798,3.300778865814209,7.054836750030518
25,38.878446102142334,4.856281280517578,1.6326524019241333,2.0603039264678955,1.2973346710205078,4.586874485015869,2.236790418624878,2.0671350955963135,3.073282480239868,6.558232307434082
26,37.49422097206116,7.128481864929199,1.7317005395889282,3.484910488128662,1.4260566234588623,5.4767866134643555,3.337794303894043,3.4791347980499268,4.932901382446289,9.249917984008789
27,36.65490007400513,5.19513463973999,1.5621869564056396,2.18994402885437,1.3930610418319702,4.385374069213867,2.1546692848205566,2.199803352355957,3.4988698959350586,7.534701347351074
28,37.85915279388428,5.991395473480225,1.71882963180542,2.8088700771331787,1.3688327074050903,5.170808792114258,2.865112543106079,2.8170058727264404,4.026534557342529,7.869751453399658
29,40.570268869400024,5.311367988586426,1.6423735618591309,2.4861040115356445,1.3075112104415894,4.973816871643066,2.649165630340576,2.4927637577056885,3.5258874893188477,7.068167209625244
30,38.159289836883545,5.259884357452393,1.6541281938552856,2.4153974056243896,1.3778724670410156,5.333289623260498,2.698627471923828,2.4228169918060303,3.3854198455810547,6.963204860687256
31,41.102133989334106,7.284387588500977,1.6984214782714844,3.169193744659424,1.4099009037017822,5.36063814163208,3.126115083694458,3.1761975288391113,4.5031232833862305,8.61666488647461
32,38.13194394111633,5.462368011474609,1.6471517086029053,1.889094591140747,1.3896461725234985,4.869599342346191,2.172297477722168,1.8914583921432495,2.8774173259735107,6.451082229614258
33,38.057395935058594,6.014277458190918,1.688388705253601,2.4677491188049316,1.2852251529693604,4.6017560958862305,2.480039119720459,2.4744412899017334,3.644793748855591,7.302502155303955
34,45.0286431312561,5.47762393951416,1.714108943939209,2.1332764625549316,1.4996862411499023,5.212568759918213,2.3808515071868896,2.1303844451904297,3.2526326179504395,7.199134826660156
35,38.49418807029724,5.725471019744873,1.6941825151443481,2.5727436542510986,1.4636292457580566,5.548211097717285,2.8151955604553223,2.577437400817871,3.666109323501587,7.5371317863464355
36,39.051520109176636,6.063694000244141,1.746992826461792,3.3367981910705566,1.5631093978881836,5.558457851409912,3.2194647789001465,3.3414676189422607,4.881898880004883,9.59553337097168
37,38.20859885215759,5.383268356323242,1.5775995254516602,2.8031914234161377,1.41925048828125,4.685665607452393,2.6282310485839844,2.808351516723633,4.279325008392334,8.625682830810547
38,39.775129079818726,6.2988739013671875,1.7077438831329346,2.610539436340332,1.329498529434204,5.192808628082275,2.778909683227539,2.6204445362091064,3.6566996574401855,7.237400531768799
39,39.40498495101929,4.976746082305908,1.6454622745513916,2.3699533939361572,1.2809133529663086,4.911775588989258,2.5602951049804688,2.3724312782287598,3.3526947498321533,6.764664173126221
40,39.86743712425232,9.656837463378906,1.7905737161636353,7.216376304626465,1.6048357486724854,7.036294937133789,6.066622257232666,7.223234176635742,9.823335647583008,16.097442626953125
41,40.211193799972534,5.401953220367432,1.6826977729797363,2.1033458709716797,1.5084308385849,5.327444076538086,2.416548013687134,2.1029131412506104,3.1640238761901855,7.071146011352539
42,40.527098178863525,6.506620407104492,1.7381082773208618,2.5937001705169678,1.546039342880249,5.504157066345215,2.7501306533813477,2.5883467197418213,3.8478565216064453,8.102534294128418
43,41.897329807281494,5.6893229484558105,1.7180758714675903,2.156972646713257,1.484864592552185,5.609127044677734,2.5747106075286865,2.1561391353607178,3.0924184322357178,6.764745235443115
44,38.3188042640686,5.084111213684082,1.6143251657485962,2.4159719944000244,1.1987565755844116,4.3220343589782715,2.405691385269165,2.4202446937561035,3.525857925415039,6.988346576690674
45,39.73218894004822,6.521966934204102,1.7829499244689941,3.41593074798584,1.5690116882324219,5.975569248199463,3.4388718605041504,3.419055461883545,4.830242156982422,9.348702430725098
46,41.23875021934509,5.952070236206055,1.6954492330551147,3.2416317462921143,1.5100274085998535,5.7924346923828125,3.270601511001587,3.241654872894287,4.58453893661499,8.912425994873047
47,37.859126806259155,5.8868303298950195,1.7286733388900757,2.1678807735443115,1.5718445777893066,4.8495306968688965,2.1976139545440674,2.1813690662384033,3.5804507732391357,7.995002746582031
48,38.64907717704773,4.856304168701172,1.5786303281784058,1.9945812225341797,1.5221611261367798,4.814765453338623,2.1417062282562256,1.9976838827133179,3.239694595336914,7.420922756195068
49,38.48002004623413,5.76983642578125,1.712172508239746,2.26480770111084,1.500924825668335,5.088704586029053,2.4476068019866943,2.2693943977355957,3.4558660984039307,7.569069862365723
50,48.40450406074524,6.520463943481445,1.792107105255127,2.778455972671509,1.5782588720321655,5.786317348480225,2.951378583908081,2.7777910232543945,4.045437812805176,8.335989952087402
51,39.21019196510315,5.380002021789551,1.665091872215271,2.1763882637023926,1.2099884748458862,4.634922504425049,2.3907058238983154,2.176335334777832,3.0628857612609863,6.278687477111816
52,39.752933979034424,6.361237525939941,1.6907845735549927,2.8328475952148438,1.4406659603118896,5.329935073852539,2.89017391204834,2.8318824768066406,4.093982696533203,8.159290313720703
53,40.692930936813354,4.9908037185668945,1.6713676452636719,1.8405144214630127,1.4799550771713257,5.3751912117004395,2.2922005653381348,1.8378440141677856,2.7333743572235107,6.344488143920898
54,36.73925709724426,6.163150310516357,1.7122148275375366,2.191659688949585,1.2627288103103638,4.98094367980957,2.4887359142303467,2.188887119293213,3.046121835708618,6.261534214019775
55,36.55220413208008,5.032045364379883,1.5674967765808105,1.843467116355896,1.3109130859375,4.6192402839660645,2.1097846031188965,1.8483935594558716,2.7721054553985596,6.184393882751465
56,37.38752007484436,5.581162452697754,1.665946364402771,2.2060046195983887,1.5468510389328003,5.413397312164307,2.506094217300415,2.214271306991577,3.317234754562378,7.374442100524902
