seed,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
1,21.172051906585693,3.3988142013549805,1.2144991159439087,0.37850308418273926,0.7060492038726807,2.1089282035827637,0.6585814356803894,0.41040849685668945,0.8085700869560242,2.8981876373291016
2,60.260708808898926,3.395359754562378,1.246259331703186,0.2505367398262024,0.12621591985225677,0.517845094203949,0.3169325292110443,0.26834356784820557,0.33748671412467957,0.806764543056488
3,51.81871294975281,3.6384849548339844,1.22761070728302,0.36971771717071533,0.2784464657306671,1.2110028266906738,0.6010667085647583,0.410404235124588,0.4318534731864929,1.3418500423431396
4,41.04418683052063,7.86768102645874,1.3467061519622803,3.22059965133667,0.23649634420871735,3.544872999191284,3.137286424636841,3.1722280979156494,3.523507833480835,4.634815216064453
5,44.450339794158936,3.6344993114471436,1.2574900388717651,0.40524592995643616,0.261773020029068,1.1419605016708374,0.5119609832763672,0.46906211972236633,0.6649080514907837,1.3724994659423828
6,25.12069296836853,3.790914535522461,1.2905986309051514,0.3627922832965851,0.862962007522583,2.4267172813415527,0.6544650793075562,0.35626280307769775,0.8121925592422485,3.5459556579589844
7,50.61201786994934,4.120976448059082,1.3196916580200195,0.45773687958717346,0.26646852493286133,1.301171898841858,0.6197474598884583,0.5391971468925476,0.6319185495376587,1.3088241815567017
8,32.66554307937622,3.4901864528656006,1.236469030380249,0.46320995688438416,0.5618475079536438,1.7353527545928955,0.6873986721038818,0.525360643863678,0.8533167839050293,2.7002296447753906
9,50.38525104522705,3.854851722717285,1.2645690441131592,0.3853003680706024,0.48765623569488525,0.7855545878410339,0.4607440233230591,0.4549812078475952,0.6284539699554443,2.315870523452759
10,31.950281858444214,3.63348388671875,1.2859772443771362,0.3489924669265747,0.6672090888023376,2.037139892578125,0.5362920761108398,0.32538384199142456,0.7709449529647827,2.639983654022217
11,75.20294666290283,4.30817174911499,1.3290839195251465,0.5958895087242126,0.3218424320220947,1.7846367359161377,0.7787433862686157,0.6405969858169556,0.6591594815254211,1.4010738134384155
12,48.96632170677185,3.633857488632202,1.2762879133224487,0.21572712063789368,0.4038442373275757,1.415226697921753,0.3632221817970276,0.2232368141412735,0.4626573920249939,1.551304578781128
13,39.18010401725769,3.902428150177002,1.243661880493164,0.5465629696846008,0.4791465401649475,1.462454915046692,0.7061029672622681,0.6263866424560547,0.8639429807662964,2.559253692626953
14,62.85736966133118,3.54425048828125,1.2252217531204224,0.431454598903656,0.29448559880256653,1.562818169593811,0.6114467978477478,0.4677243232727051,0.5877739787101746,1.2387709617614746
15,70.12138223648071,3.6179561614990234,1.2738120555877686,0.3986252546310425,0.2482823133468628,1.1659865379333496,0.534497082233429,0.4121303856372833,0.5328401923179626,1.2461130619049072
16,38.602071046829224,4.73312520980835,1.3417150974273682,0.9577137231826782,0.7434931993484497,2.9998996257781982,1.1965737342834473,0.9982721209526062,1.5018621683120728,3.197747230529785
17,42.39293384552002,3.3830339908599854,1.2245337963104248,0.2519499361515045,0.8786275386810303,2.0493710041046143,0.5937401652336121,0.22373348474502563,0.6739181280136108,3.9128925800323486
18,45.599820137023926,3.1271331310272217,1.1594163179397583,0.2343914955854416,0.46224716305732727,1.3086684942245483,0.5331031084060669,0.3318473994731903,0.4026592969894409,1.751705288887024
19,35.974950075149536,3.9849941730499268,1.3533443212509155,0.5496671795845032,0.6284604668617249,1.5231837034225464,0.5183819532394409,0.6020819544792175,1.2068595886230469,2.998889684677124
20,61.246788024902344,3.5320160388946533,1.2743395566940308,0.30415046215057373,0.33336499333381653,1.530572533607483,0.5381600260734558,0.3137345612049103,0.3838317394256592,1.1288410425186157
21,55.09410619735718,4.3656535148620605,1.2583614587783813,0.5417158007621765,0.31374433636665344,1.3790802955627441,0.5372348427772522,0.5427882075309753,0.8830196261405945,1.7478996515274048
22,47.07232189178467,3.780019998550415,1.2894995212554932,0.32898491621017456,0.7079687118530273,2.312448740005493,0.6781443953514099,0.40444573760032654,0.6805550456047058,2.6765713691711426
23,73.78543591499329,3.2658615112304688,1.1919602155685425,0.30514267086982727,0.27370041608810425,0.8951278328895569,0.3765639662742615,0.30200687050819397,0.5008505582809448,1.5312082767486572
24,53.69423961639404,3.6854472160339355,1.268481969833374,0.34398525953292847,0.30148348212242126,0.9778369069099426,0.5565760731697083,0.45761966705322266,0.5613965392112732,1.3357194662094116
25,45.03101921081543,3.400344133377075,1.2488855123519897,0.23066909611225128,0.5043514370918274,1.2701127529144287,0.3647644817829132,0.2176051288843155,0.5841922760009766,2.4716925621032715
26,52.69768214225769,3.3397226333618164,1.205581545829773,0.21533358097076416,0.20513030886650085,0.7936423420906067,0.2635113596916199,0.23701447248458862,0.3708266317844391,0.9048532843589783
27,58.92252802848816,4.038769245147705,1.2924493551254272,0.37263578176498413,0.2657977342605591,1.3398947715759277,0.5217828154563904,0.4099181890487671,0.5241937637329102,1.1996492147445679
28,39.77765727043152,4.081528186798096,1.3315953016281128,0.49856454133987427,0.8285073041915894,2.484236001968384,0.7577393651008606,0.5189977884292603,1.0631779432296753,3.2273032665252686
29,71.337562084198,3.416440725326538,1.2425905466079712,0.2740107774734497,0.26835912466049194,0.8527153730392456,0.28724730014801025,0.29074278473854065,0.47356748580932617,1.27158522605896
30,54.47734594345093,3.6261210441589355,1.2674932479858398,0.39710670709609985,0.3261997699737549,0.9618849754333496,0.4562515616416931,0.4458237886428833,0.7656276226043701,1.9862686395645142
31,50.29578900337219,3.0856146812438965,1.1860514879226685,0.2834331691265106,0.4458901882171631,1.692588210105896,0.5574955344200134,0.3183636963367462,0.43953973054885864,1.6266961097717285
32,64.56741690635681,4.019599437713623,1.3406310081481934,0.35483697056770325,0.22107085585594177,0.8580318689346313,0.4068513512611389,0.3638242483139038,0.4962231516838074,1.3188074827194214
33,66.54907202720642,3.0406131744384766,1.188606858253479,0.37069475650787354,0.26347705721855164,1.294573187828064,0.45605993270874023,0.39395880699157715,0.5488460659980774,1.316643476486206
34,36.37781310081482,3.8833329677581787,1.325631856918335,0.8788607120513916,0.7870358824729919,2.379944324493408,1.1639889478683472,1.184367299079895,1.636825680732727,3.1671812534332275
35,57.65599203109741,3.7074460983276367,1.2196234464645386,0.7569543123245239,0.22201095521450043,0.8200170397758484,0.6710056066513062,0.7884461283683777,1.0962066650390625,2.069976806640625
36,72.96663904190063,3.2648563385009766,1.2048392295837402,0.44376689195632935,0.1883770078420639,1.0726081132888794,0.5794915556907654,0.4748295843601227,0.5575233697891235,0.9976509809494019
37,42.966403007507324,3.6449134349823,1.268072247505188,0.7629382610321045,0.5647351741790771,1.692430853843689,0.9534887075424194,0.9291782975196838,1.2184324264526367,2.9737260341644287
38,44.45581007003784,3.586794853210449,1.2894867658615112,0.6533939838409424,0.5206915140151978,1.910555362701416,0.8328016400337219,0.7073267698287964,1.1145830154418945,2.7799360752105713
39,106.80785799026489,3.2356390953063965,1.2125039100646973,0.3611583411693573,0.170571431517601,0.6379668712615967,0.37968483567237854,0.40775567293167114,0.5549094080924988,1.1000546216964722
40,55.10227704048157,4.136524200439453,1.332472562789917,0.43770843744277954,0.7962363958358765,1.6113730669021606,0.6090844869613647,0.4750765860080719,0.7803312540054321,4.44694709777832
41,41.30650806427002,3.5214216709136963,1.2302619218826294,0.30868786573410034,0.5597233772277832,1.514406681060791,0.45169001817703247,0.3158118426799774,0.6821281909942627,2.282579183578491
42,58.35176968574524,5.587942600250244,1.3269973993301392,1.766887903213501,0.7731868624687195,3.080153226852417,1.9924567937850952,2.030783176422119,2.3142354488372803,4.493986129760742
43,39.476606130599976,3.6645166873931885,1.2617638111114502,0.5112451314926147,0.9086302518844604,2.3488526344299316,1.1237527132034302,0.8896238207817078,0.8591512441635132,3.4597325325012207
44,46.3499960899353,3.473924398422241,1.2273023128509521,0.4340604543685913,0.29741355776786804,1.0449424982070923,0.4669954776763916,0.458778440952301,0.696603536605835,1.5314395427703857
45,70.72610688209534,4.180292129516602,1.3220319747924805,0.3310137987136841,0.3071902394294739,1.1374328136444092,0.4525184631347656,0.3646339774131775,0.5395288467407227,1.2800935506820679
46,40.904667139053345,3.2234528064727783,1.2285106182098389,0.2587060332298279,0.6272675395011902,2.210681200027466,0.7232568860054016,0.3198738694190979,0.5691856145858765,2.2674715518951416
47,63.76360321044922,4.284058570861816,1.3152834177017212,0.5665052533149719,0.2524378299713135,1.099105715751648,0.5630421042442322,0.6028366684913635,0.8847672343254089,1.6318737268447876
48,46.83478283882141,3.496829032897949,1.2789360284805298,0.48121631145477295,0.37265345454216003,1.1461745500564575,0.476735383272171,0.48192107677459717,0.8593045473098755,1.9839273691177368
49,47.62843990325928,3.7951130867004395,1.2774367332458496,0.21522824466228485,0.2677672505378723,0.8700182437896729,0.27659180760383606,0.24633698165416718,0.480938196182251,1.1877493858337402
