seed,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
1,31.467729091644287,6.156928539276123,1.7198046445846558,2.5792734622955322,1.5401164293289185,4.516261100769043,2.372483491897583,2.588575839996338,4.204443454742432,8.96403980255127
2,32.9647479057312,9.076077461242676,1.763704776763916,3.7477338314056396,1.6279762983322144,5.422213077545166,3.368483304977417,3.7696502208709717,5.640214920043945,10.82911205291748
3,32.758981704711914,5.149281024932861,1.626794457435608,2.0134410858154297,1.7730271816253662,6.220953464508057,2.5554893016815186,2.016770601272583,3.088888645172119,7.4307637214660645
4,33.25252985954285,5.7345356941223145,1.6736249923706055,2.02959942817688,1.6992979049682617,5.618141174316406,2.3786509037017822,2.0386338233947754,3.2321066856384277,7.652838706970215
5,33.850669145584106,6.006189823150635,1.6795294284820557,3.180145025253296,1.7814885377883911,5.9699530601501465,3.1588704586029053,3.1904377937316895,4.834078788757324,10.030521392822266
6,35.194344997406006,6.069550514221191,1.6943509578704834,3.055325746536255,1.4749687910079956,5.230528831481934,2.9629018306732178,3.0679433345794678,4.492734432220459,8.86275577545166
7,40.15380883216858,6.27400016784668,1.738674521446228,3.041221857070923,1.4082801342010498,5.081401824951172,2.950392723083496,3.0525214672088623,4.433142185211182,8.620268821716309
8,48.85071587562561,6.436847686767578,1.753072738647461,3.2485039234161377,1.7525830268859863,6.44810152053833,3.4006974697113037,3.255664587020874,4.691349506378174,9.559676170349121
9,48.597491979599,4.781791687011719,1.570917010307312,1.8951821327209473,1.3063949346542358,4.397323131561279,2.0766940116882324,1.9042048454284668,2.915607213973999,6.450471878051758
10,45.796574115753174,5.42750883102417,1.6442714929580688,2.0670511722564697,1.5062973499298096,5.281548976898193,2.3784096240997314,2.077667474746704,3.1454885005950928,7.0025153160095215
11,51.3193199634552,6.07296085357666,1.6909385919570923,2.545092821121216,1.618874192237854,5.919652462005615,2.85191011428833,2.544269561767578,3.7153236865997314,7.955402851104736
12,51.70166611671448,5.862502098083496,1.67770516872406,2.541191816329956,1.6070737838745117,5.717841148376465,2.789132833480835,2.5497100353240967,3.7679529190063477,8.06616497039795
13,50.53125977516174,4.592836856842041,1.5311919450759888,2.2284600734710693,1.3386075496673584,4.668790340423584,2.3495988845825195,2.24269962310791,3.3422579765319824,7.009078025817871
14,52.47294092178345,4.639510631561279,1.5796338319778442,1.9872524738311768,1.5516231060028076,5.431370258331299,2.366624593734741,1.9907710552215576,3.027825117111206,6.94119119644165
15,55.71152210235596,5.960111141204834,1.6892845630645752,2.342578649520874,1.5995582342147827,5.333099842071533,2.520017147064209,2.355842351913452,3.648437976837158,7.987567901611328
16,50.41619086265564,5.433731555938721,1.6110289096832275,2.3038833141326904,1.4723286628723145,5.379024982452393,2.5738062858581543,2.3071177005767822,3.3791356086730957,7.217738628387451
17,54.19255208969116,5.2164435386657715,1.5981718301773071,2.6208794116973877,1.498803734779358,5.041823863983154,2.6392691135406494,2.6305410861968994,3.9822452068328857,8.294400215148926
18,50.36211919784546,6.789004325866699,1.6897958517074585,2.5458571910858154,1.9235649108886719,5.939670085906982,2.6643903255462646,2.5542514324188232,4.179800987243652,9.577492713928223
19,51.96225905418396,5.601083755493164,1.6426714658737183,2.044320583343506,1.5204626321792603,5.3432297706604,2.405602216720581,2.059373617172241,3.0879530906677246,6.965941429138184
20,51.93885803222656,4.943042278289795,1.5625883340835571,1.9353898763656616,1.5599709749221802,5.067176342010498,2.183821439743042,1.9516518115997314,3.123387098312378,7.226515769958496
21,48.0443811416626,5.0678181648254395,1.5820093154907227,2.4188899993896484,1.459201455116272,4.407270908355713,2.269047498703003,2.435617446899414,3.913534164428711,8.317152976989746
22,54.19205021858215,7.21782112121582,1.8485544919967651,3.1554954051971436,1.889314889907837,6.6198625564575195,3.327991008758545,3.155134677886963,4.717537879943848,9.919620513916016
23,52.90154027938843,6.0746331214904785,1.7091302871704102,2.8718578815460205,1.7280272245407104,5.625128746032715,2.8560268878936768,2.878413200378418,4.470208644866943,9.47313117980957
24,55.41393303871155,5.097102165222168,1.6694849729537964,2.3096206188201904,1.5224331617355347,5.3154730796813965,2.5394368171691895,2.314805269241333,3.479556083679199,7.552223205566406
25,49.3047559261322,5.070632457733154,1.648210883140564,2.2015888690948486,1.4654760360717773,5.618082523345947,2.6269173622131348,2.211117744445801,3.123800039291382,6.708361625671387
26,46.26033616065979,6.854305744171143,1.6637868881225586,3.4476943016052246,1.6048364639282227,6.065911769866943,3.496685743331909,3.464681386947632,4.895095348358154,9.5079927444458
27,49.56090593338013,5.345105171203613,1.591531753540039,2.244354248046875,1.4631104469299316,4.530012130737305,2.2214457988739014,2.259129047393799,3.6155943870544434,7.8537750244140625
28,47.77993607521057,5.46514892578125,1.6459147930145264,2.626021385192871,1.4259028434753418,5.202359199523926,2.7475814819335938,2.635550022125244,3.823390245437622,7.752443790435791
29,50.07918310165405,5.285228252410889,1.586830735206604,2.476034641265869,1.4702447652816772,4.874337673187256,2.489419937133789,2.4913814067840576,3.819530963897705,7.998514652252197
30,52.733896017074585,5.121138572692871,1.6405653953552246,2.321061611175537,1.5044697523117065,5.865419864654541,2.7749619483947754,2.326801300048828,3.241953134536743,6.913997173309326
31,49.47174906730652,7.740603446960449,1.7298932075500488,3.405033588409424,1.4898425340652466,5.781985759735107,3.3849711418151855,3.4056949615478516,4.785167217254639,9.110994338989258
32,51.061583280563354,5.449352741241455,1.652124285697937,1.9770129919052124,1.5401581525802612,4.7583231925964355,2.101935863494873,1.9907888174057007,3.2814583778381348,7.508693218231201
33,49.416157960891724,6.118635654449463,1.6801944971084595,2.482257127761841,1.4083997011184692,4.684555530548096,2.4575846195220947,2.4931187629699707,3.8109335899353027,7.895597457885742
34,52.63725996017456,5.638751983642578,1.7479501962661743,2.0200390815734863,1.5431548357009888,5.586267471313477,2.4550886154174805,2.0266435146331787,2.998368263244629,6.800650119781494
35,48.252915143966675,6.395366191864014,1.7288841009140015,3.213940143585205,1.5580875873565674,6.013251304626465,3.308971643447876,3.2196640968322754,4.544323444366455,8.861432075500488
36,49.69587469100952,5.925766468048096,1.678641438484192,3.140734910964966,1.6149274110794067,5.30391263961792,2.957371711730957,3.1397759914398193,4.8068437576293945,9.719870567321777
37,47.83343696594238,5.375265121459961,1.5902374982833862,3.0522212982177734,1.4303141832351685,5.073356628417969,2.9306249618530273,3.0681750774383545,4.484185218811035,8.784822463989258
38,52.41226077079773,6.136244297027588,1.6646034717559814,2.5772509574890137,1.4590448141098022,4.9576239585876465,2.589282512664795,2.59310245513916,3.906952381134033,8.074668884277344
39,49.97181701660156,4.965546131134033,1.581266164779663,2.34846830368042,1.3995959758758545,5.212743759155273,2.6079745292663574,2.3647007942199707,3.3803699016571045,7.049011707305908
40,49.598297119140625,10.844537734985352,1.7770417928695679,8.506373405456543,1.6630680561065674,8.059179306030273,7.223642349243164,8.514159202575684,11.321123123168945,17.97856330871582
41,48.5567421913147,5.106974124908447,1.5930333137512207,1.9092371463775635,1.533282995223999,4.956777572631836,2.1394739151000977,1.921010971069336,3.0911612510681152,7.154755592346191
42,50.253775119781494,6.359781265258789,1.6541961431503296,2.53585147857666,1.6708930730819702,5.797085762023926,2.7859673500061035,2.545250415802002,3.8249363899230957,8.315824508666992
