seed,total_time,mse,l1,mse_mean
1,6.706104040145874,0.9044499397277832,0.7442934513092041,0.12787286937236786
2,3.524473190307617,0.8755664825439453,0.7351784110069275,0.07918116450309753
3,4.503663063049316,0.8991374969482422,0.7299820780754089,0.08286352455615997
4,3.906790018081665,0.9684656858444214,0.7677919864654541,0.10760794579982758
5,3.987623929977417,0.932161271572113,0.7083589434623718,0.14561942219734192
6,3.5463569164276123,0.9308363795280457,0.7417775392532349,0.10392018407583237
7,3.1996800899505615,0.9378501176834106,0.7438693046569824,0.12101753056049347
8,4.5219340324401855,0.8705402612686157,0.7234815955162048,0.09010086208581924
9,3.8804497718811035,0.9802309274673462,0.7598831057548523,0.11566200107336044
10,3.247246026992798,0.8823232650756836,0.7363828420639038,0.0613676980137825
11,3.6058969497680664,0.9435138702392578,0.754568874835968,0.11306072026491165
12,3.6002469062805176,0.9471253752708435,0.7425544857978821,0.09985218197107315
13,3.6796059608459473,0.9260580539703369,0.7456545829772949,0.07117106765508652
14,5.334043979644775,0.8727602958679199,0.7252064347267151,0.08893072605133057
15,3.633121967315674,0.8043873310089111,0.6835242509841919,0.07949134707450867
16,3.3626229763031006,0.8925653100013733,0.7347325682640076,0.08053581416606903
17,3.67096209526062,0.7744622826576233,0.6809471249580383,0.09012225270271301
18,3.947342872619629,0.8510160446166992,0.7188075184822083,0.10383269935846329
19,4.143365144729614,0.9785099029541016,0.7407477498054504,0.1625947654247284
20,3.4706478118896484,0.9106096029281616,0.7559014558792114,0.09261540323495865
21,8.518632888793945,0.8946407437324524,0.7300228476524353,0.0936366468667984
22,4.800057888031006,0.9348196387290955,0.7332704663276672,0.13845136761665344
23,4.342656850814819,0.8723730444908142,0.7218331098556519,0.08291474729776382
24,4.083670139312744,0.8905630111694336,0.7388861775398254,0.0833086147904396
25,3.9564621448516846,0.8203610777854919,0.7142494320869446,0.07666302472352982
26,4.26758885383606,0.8435081839561462,0.7077023983001709,0.07704227417707443
