seed,total_time,mse,l1,mse_mean
1,3.235537052154541,4.474799156188965,1.3110202550888062,3.5381460189819336
2,3.25370717048645,3.52882981300354,1.3236091136932373,2.9170327186584473
3,3.326140880584717,4.161863327026367,1.3045601844787598,3.327319860458374
4,3.719182014465332,3.7967689037323,1.3519328832626343,2.9567205905914307
5,3.4644570350646973,3.030136823654175,1.2289220094680786,2.206120014190674
6,4.186066150665283,3.7074527740478516,1.386881709098816,2.813779830932617
7,3.9362258911132812,3.8700263500213623,1.3323229551315308,3.085282564163208
8,4.194921970367432,3.722682476043701,1.3349852561950684,3.0108001232147217
9,4.5402209758758545,3.207814931869507,1.2488946914672852,2.471900463104248
10,3.8153531551361084,3.6803324222564697,1.2656720876693726,3.0970113277435303
11,3.4086861610412598,2.9482016563415527,1.2383469343185425,2.05892276763916
12,3.8324742317199707,3.328634262084961,1.3248995542526245,2.4987735748291016
13,3.72602915763855,3.793485403060913,1.339898705482483,2.843588352203369
14,3.5252127647399902,3.82714581489563,1.3264118432998657,3.005603551864624
15,3.6785318851470947,4.2483954429626465,1.304477334022522,3.4311156272888184
16,3.7672278881073,3.582646369934082,1.322753667831421,2.902082920074463
17,3.994112014770508,3.995363712310791,1.2828298807144165,3.104407787322998
18,3.4137978553771973,5.005746364593506,1.423830509185791,4.198892593383789
19,3.8395631313323975,3.492548942565918,1.2167236804962158,2.643120050430298
20,3.6284730434417725,3.105537176132202,1.2436892986297607,2.3348240852355957
21,3.8308911323547363,4.068620681762695,1.3410512208938599,3.2886626720428467
22,4.019712924957275,3.4564170837402344,1.3149689435958862,2.6845319271087646
23,4.100332975387573,3.8953323364257812,1.35469651222229,3.202310085296631
24,4.008118629455566,3.9648237228393555,1.3911513090133667,3.000685930252075
25,3.673936128616333,3.7540600299835205,1.2651150226593018,3.072999954223633
26,5.134845018386841,3.1942219734191895,1.311462163925171,2.29957914352417
27,7.120675086975098,3.590888500213623,1.3423916101455688,2.708239793777466
28,4.291237831115723,3.008174419403076,1.3104493618011475,2.124516248703003
29,4.19484806060791,3.7331044673919678,1.3262407779693604,2.882124423980713
30,3.819880962371826,2.502225160598755,1.1524128913879395,1.7998663187026978
31,3.6763908863067627,2.8300528526306152,1.2444268465042114,2.0008013248443604
32,3.519819974899292,4.782428741455078,1.4678775072097778,3.697556257247925
33,3.612795829772949,3.929980993270874,1.2786606550216675,3.099438428878784
34,3.4286069869995117,2.9320690631866455,1.2478654384613037,2.068176746368408
35,3.921588897705078,3.3171567916870117,1.3043327331542969,2.6072516441345215
36,3.978071928024292,3.4669926166534424,1.2757457494735718,2.5561916828155518
37,4.082486867904663,3.925412654876709,1.2890417575836182,3.4433116912841797
38,4.816141128540039,4.128988265991211,1.3652164936065674,3.2848832607269287
39,4.604011058807373,3.638200283050537,1.2996799945831299,2.8392300605773926
40,3.9867451190948486,3.603712797164917,1.2853894233703613,2.795213460922241
41,4.883404016494751,3.7401483058929443,1.2816804647445679,2.8519351482391357
42,4.579265117645264,4.390625953674316,1.360264539718628,3.510866641998291
43,5.596278667449951,3.621832847595215,1.3156468868255615,2.8732500076293945
44,4.308349847793579,4.023370742797852,1.2824822664260864,3.2363154888153076
45,4.334482192993164,3.2704808712005615,1.2745110988616943,2.56149959564209
46,3.833343982696533,3.3682892322540283,1.2616127729415894,2.587946891784668
47,5.0531017780303955,4.896507263183594,1.3962165117263794,4.27920389175415
48,4.363211154937744,2.9867963790893555,1.1917023658752441,2.2180063724517822
49,4.853717803955078,3.571441411972046,1.2807477712631226,2.826643943786621
50,4.688853979110718,3.8544394969940186,1.2977479696273804,3.075042963027954
51,4.992853879928589,4.081809997558594,1.3383527994155884,3.326829195022583
52,4.623365163803101,3.9640297889709473,1.2886465787887573,3.2049286365509033
53,4.719066143035889,3.6286582946777344,1.3352842330932617,2.7852656841278076
54,5.278777122497559,3.610247850418091,1.3481429815292358,2.8219668865203857
55,5.119158983230591,3.5917916297912598,1.3122313022613525,2.749068021774292
56,4.903289079666138,3.019582748413086,1.2583937644958496,2.253155469894409
57,5.022645950317383,3.606438159942627,1.303839921951294,2.8096699714660645
58,5.130942106246948,4.045016765594482,1.3688232898712158,3.02168607711792
59,5.28220534324646,3.394458293914795,1.3186897039413452,2.49483323097229
60,5.05241584777832,3.6389083862304688,1.3055347204208374,2.770315408706665
61,5.085175037384033,3.9987807273864746,1.3342753648757935,3.227846622467041
62,5.541548013687134,3.6516966819763184,1.3066545724868774,2.8882086277008057
63,5.0449159145355225,3.2320735454559326,1.337080717086792,2.149721622467041
64,4.676250696182251,4.0902791023254395,1.378944993019104,3.201488733291626
65,4.1886327266693115,3.6829848289489746,1.2670236825942993,3.0238583087921143
66,4.1022419929504395,4.364253044128418,1.3594306707382202,3.376575231552124
67,3.9859108924865723,2.8975415229797363,1.234186053276062,2.1205666065216064
68,3.9220869541168213,3.411255121231079,1.3127096891403198,2.6623780727386475
69,3.3711230754852295,4.499326229095459,1.3589086532592773,3.8130056858062744
70,3.6588077545166016,5.230970859527588,1.3881266117095947,4.465006351470947
71,3.6451950073242188,2.8955307006835938,1.2685034275054932,2.0556325912475586
72,3.9070351123809814,2.8697526454925537,1.3043526411056519,2.0727334022521973
73,3.4441258907318115,4.11649227142334,1.3151319026947021,3.2528345584869385
74,4.548167943954468,3.4781606197357178,1.338083028793335,2.6890528202056885
75,4.14943790435791,3.3068251609802246,1.3597038984298706,2.638490676879883
76,4.41756272315979,4.0113911628723145,1.3697067499160767,3.1926393508911133
77,4.080978155136108,3.838759660720825,1.3406946659088135,3.1781904697418213
78,3.946329116821289,3.0293450355529785,1.261600136756897,2.360116720199585
79,3.8231201171875,3.8166210651397705,1.331468939781189,2.9192211627960205
80,4.03864598274231,3.046511173248291,1.2824695110321045,2.170836925506592
81,4.4455859661102295,2.87130069732666,1.2359212636947632,2.0959150791168213
82,4.6427929401397705,3.650890588760376,1.3106387853622437,3.0074706077575684
83,5.125178098678589,3.2091267108917236,1.255115270614624,2.529568672180176
84,4.382009029388428,3.220205783843994,1.2285146713256836,2.3918843269348145
85,4.2986860275268555,3.607051372528076,1.327093482017517,2.6232528686523438
86,4.468354225158691,3.7789063453674316,1.3232228755950928,3.0118720531463623
87,4.585958242416382,2.739621162414551,1.2310763597488403,1.9635065793991089
88,4.467047929763794,2.8752665519714355,1.2363929748535156,1.9202529191970825
89,3.7071218490600586,4.0608978271484375,1.3004698753356934,3.2538504600524902
90,3.9237208366394043,3.4532597064971924,1.2913427352905273,2.6521952152252197
91,3.981506109237671,3.659311056137085,1.3094698190689087,2.776494026184082
92,4.3246400356292725,3.501991033554077,1.246738076210022,2.75757098197937
93,4.519322872161865,4.114654064178467,1.3409485816955566,3.2469778060913086
94,6.0720579624176025,4.071232795715332,1.406869888305664,3.1768712997436523
95,4.5470592975616455,2.9599881172180176,1.2268786430358887,2.1257431507110596
96,4.319990158081055,3.410463571548462,1.2837014198303223,2.638948917388916
97,4.716162204742432,3.493083953857422,1.2836198806762695,2.7335336208343506
98,4.06362509727478,3.221733331680298,1.23191237449646,2.555903673171997
99,3.6781938076019287,2.6593053340911865,1.1561286449432373,1.9898241758346558
100,3.651421070098877,3.8473305702209473,1.3558135032653809,2.996171712875366
