seed,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
1,50.18341398239136,2.7107350826263428,2.7452914714813232,1.390260934829712,1.4027870893478394,0.007407169323414564,0.005735799204558134,0.006347975693643093,0.0023777952883392572,0.00391393480822444,0.04073350876569748,0.001147810253314674,0.001653697225265205,0.004937898833304644,0.004763232544064522,0.0033249417319893837,0.0012373375939205289,0.0038115396164357662,0.0026329250540584326
2,61.63393592834473,2.8152670860290527,2.774662494659424,1.4237241744995117,1.4312312602996826,0.009026067331433296,0.0056379796005785465,0.00519103417173028,0.0036917224060744047,0.006070682313293219,0.03090875782072544,0.0019467829260975122,0.004099832847714424,0.005839495453983545,0.004317530430853367,0.0018031668150797486,0.0009742676047608256,0.010825908742845058,0.0034640966914594173
3,40.171316146850586,2.8737692832946777,2.7136476039886475,1.458536982536316,1.3933552503585815,0.0076498654671013355,0.006828806828707457,0.002378949662670493,0.002746753627434373,0.003265750827267766,0.01715058460831642,0.0020384471863508224,0.0037405923940241337,0.0011680519673973322,0.0009902730816975236,0.0035748558584600687,0.0019438733579590917,0.011185841634869576,0.0013705766759812832
4,51.542617082595825,2.7483139038085938,2.6481878757476807,1.3942855596542358,1.3618860244750977,0.006486428435891867,0.007747313007712364,0.004416103474795818,0.005311682820320129,0.004606792237609625,0.001856648363173008,0.0009928587824106216,0.023933645337820053,0.005627995356917381,0.0065262531861662865,0.0216818954795599,0.00200998829677701,0.014010549522936344,0.00399541761726141
5,56.656338930130005,2.7874746322631836,2.6963515281677246,1.4187421798706055,1.3865736722946167,0.002721369732171297,0.006060536485165358,0.003486873349174857,0.005486081819981337,0.0021080845035612583,0.002263815375044942,0.0006823609001003206,0.0028906725347042084,0.005090141203254461,0.004348559305071831,0.017615821212530136,0.0012745363637804985,0.003200523555278778,0.0045946137979626656
6,53.22873616218567,2.7465171813964844,2.734570264816284,1.4146591424942017,1.4072153568267822,0.00899380724877119,0.004472382366657257,0.004216475412249565,0.00336953392252326,0.005413137376308441,0.007364790420979261,0.0019932002760469913,0.008539117872714996,0.004205054137855768,0.0035040313377976418,0.0031353039667010307,0.0011111769126728177,0.0048437099903821945,0.003757876344025135
7,52.214097023010254,2.6598637104034424,2.7063755989074707,1.369241714477539,1.3960334062576294,0.0050539844669401646,0.004404512234032154,0.003271642839536071,0.0044761584140360355,0.004265790805220604,0.005053421948105097,0.0009353974601253867,0.0015425982419401407,0.003984726965427399,0.00534733897075057,0.0042773084715008736,0.0007888399995863438,0.007505167741328478,0.004861568566411734
8,54.836201906204224,2.802084445953369,2.726693630218506,1.4345756769180298,1.4018381834030151,0.003195386379957199,0.003700070781633258,0.0037753176875412464,0.006715478841215372,0.003536791540682316,0.0013868107926100492,0.0005276472656987607,0.007968863472342491,0.005952675361186266,0.0029533521737903357,0.0023445591796189547,0.000996186281554401,0.020943649113178253,0.008252017199993134
9,61.918911933898926,2.7607016563415527,2.8303472995758057,1.4123334884643555,1.446380615234375,0.008610235527157784,0.007906928658485413,0.0024200219195336103,0.003998990636318922,0.004605370573699474,0.020906813442707062,0.001296201255172491,0.007201915606856346,0.004884310532361269,0.0031525532249361277,0.0030428662430495024,0.0011918861418962479,0.014806738123297691,0.006614858750253916
10,60.3150839805603,2.749617576599121,2.7289741039276123,1.406589150428772,1.405288815498352,0.008550518192350864,0.004421279765665531,0.005659639369696379,0.003768500406295061,0.004130571149289608,0.03517691045999527,0.010322131216526031,0.004245517309755087,0.005090514197945595,0.0018450667848810554,0.0028034213464707136,0.0009832939831539989,0.004460860975086689,0.0055086384527385235
