seed,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
1,50.372262954711914,6.729644298553467,6.648433685302734,2.1016533374786377,2.0430378913879395,0.020260140299797058,0.013775807805359364,0.03091171756386757,0.01701202057301998,0.16287016868591309,0.09057611227035522,0.009717825800180435,0.019351257011294365,0.03296354413032532,0.05478201434016228,0.022580983117222786,0.009415630251169205,0.03832673281431198,0.15596827864646912
2,42.48439025878906,6.589391231536865,6.174339771270752,2.086925983428955,1.926361083984375,0.02280338853597641,0.020197013393044472,0.005441681947559118,0.013683557510375977,0.02138889580965042,0.03741450607776642,0.08668219298124313,0.023252155631780624,0.04949820041656494,0.018286751583218575,0.03367321938276291,0.018574994057416916,0.1059185191988945,0.2540087103843689
3,52.72395300865173,6.292055606842041,6.910548210144043,2.025045156478882,2.0681934356689453,0.012027942575514317,0.01023074146360159,0.010073068551719189,0.012888805940747261,0.06493834406137466,0.03767751157283783,0.018754305317997932,0.019987281411886215,0.012221887707710266,0.02504170686006546,0.02318551205098629,0.010343351401388645,0.07745277881622314,0.1483815610408783
4,68.93260097503662,6.825181007385254,6.759739398956299,2.1237807273864746,2.011488437652588,0.012621277943253517,0.02634214609861374,0.027142498642206192,0.02879948355257511,0.04718795791268349,0.06282246112823486,0.022337473928928375,0.013978137634694576,0.0350559838116169,0.024756304919719696,0.019255127757787704,0.024414759129285812,0.15426310896873474,0.37795108556747437
5,88.07453894615173,6.434213638305664,6.1898579597473145,2.0504586696624756,1.9453777074813843,0.012063146568834782,0.012626923620700836,0.03579413518309593,0.019998300820589066,0.10901493579149246,0.03648696094751358,0.027691204100847244,0.01896572671830654,0.036855101585388184,0.021259522065520287,0.04744378477334976,0.008497284725308418,0.053867559880018234,0.18009503185749054
6,47.255494832992554,6.65837287902832,7.164302825927734,2.1028032302856445,2.1416757106781006,0.022839119657874107,0.010523620992898941,0.008555117063224316,0.010705381631851196,0.05157160013914108,0.0536695197224617,0.10050260275602341,0.03275110200047493,0.08389730751514435,0.026867782697081566,0.07164206355810165,0.011018502525985241,0.06079571694135666,0.07560370117425919
7,76.58333206176758,6.594287395477295,6.94089937210083,2.0971405506134033,2.0790669918060303,0.015814153477549553,0.013256542384624481,0.01136051770299673,0.024164047092199326,0.04583946615457535,0.05398213118314743,0.02240850031375885,0.008365697227418423,0.015067612752318382,0.052810315042734146,0.022669117897748947,0.013315584510564804,0.07192575186491013,0.15783432126045227
8,58.990894079208374,6.770139217376709,6.544854640960693,2.0748825073242188,1.9905325174331665,0.012246275320649147,0.019606979563832283,0.008984123356640339,0.011760585941374302,0.027293432503938675,0.03487127274274826,0.028661472722887993,0.01654217764735222,0.028547508642077446,0.028600608929991722,0.02882552519440651,0.021640334278345108,0.1078808605670929,0.10519379377365112
9,82.97174501419067,6.272364139556885,7.164353370666504,2.0113940238952637,2.109813928604126,0.021337458863854408,0.015660658478736877,0.016016565263271332,0.03706980124115944,0.022205239161849022,0.021817488595843315,0.05384700000286102,0.02181895077228546,0.043776996433734894,0.0918574407696724,0.04056873545050621,0.010182132944464684,0.034297917038202286,0.32997357845306396
10,86.7933177947998,6.349599838256836,6.4304609298706055,2.047424793243408,1.9861687421798706,0.011139852926135063,0.013037612661719322,0.02420992963016033,0.017280269414186478,0.08752819895744324,0.04334840178489685,0.02261119708418846,0.013300799764692783,0.027713626623153687,0.02246912010014057,0.021072933450341225,0.013685011304914951,0.0683911070227623,0.25124719738960266
