variant,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
diffusion,14.67 +/- 1.567,1.213 +/- 0.1191,0.8624 +/- 0.04012,0.4058 +/- 0.1016,0.1767 +/- 0.07816,0.8796 +/- 0.1881,0.7396 +/- 0.1898,0.697 +/- 0.1542,0.4149 +/- 0.1051,1.029 +/- 0.3851
wgan_recon0.1,59.96 +/- 7.411,2.906 +/- 0.4698,1.137 +/- 0.049,2.098 +/- 0.4665,0.1577 +/- 0.02138,3.379 +/- 0.5129,2.253 +/- 0.506,2.275 +/- 0.4852,2.136 +/- 0.4527,2.093 +/- 0.4053
wgan_recon0,47.63 +/- 4.385,3.424 +/- 0.4404,1.326 +/- 0.0728,2.61 +/- 0.4419,0.08828 +/- 0.02021,3.288 +/- 0.4465,2.83 +/- 0.4774,2.861 +/- 0.4598,2.614 +/- 0.43,2.701 +/- 0.4672
