variant,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
diffusion,27.59 +/- 6.693,0.8183 +/- 0.067,0.7034 +/- 0.02077,0.02445 +/- 0.03796,0.03326 +/- 0.006438,0.3673 +/- 0.07208,0.04949 +/- 0.03096,0.07657 +/- 0.04413,0.04289 +/- 0.04703,0.1422 +/- 0.1124
wgan_recon0.1,84.88 +/- 26.53,0.8754 +/- 0.0612,0.7282 +/- 0.0226,0.08117 +/- 0.02909,0.1619 +/- 0.06188,0.9252 +/- 0.2221,0.1948 +/- 0.05964,0.1908 +/- 0.04742,0.1562 +/- 0.04073,0.588 +/- 0.2346
wgan_recon0,56.64 +/- 16.92,0.9682 +/- 0.1138,0.7548 +/- 0.03241,0.1732 +/- 0.09604,0.2808 +/- 0.1532,1.112 +/- 0.4554,0.3673 +/- 0.1939,0.3006 +/- 0.145,0.3177 +/- 0.1463,1.068 +/- 0.6357
NN,4.371 +/- 1.076,0.9037 +/- 0.0716,0.7328 +/- 0.02124,0.1119 +/- 0.04626,,,,,,
