variant,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
diffusion,12 +/- 1.046,4.752 +/- 0.652,1.518 +/- 0.09111,1.501 +/- 0.5066,1.901 +/- 1.078,4.684 +/- 1.78,1.819 +/- 0.6502,1.424 +/- 0.4902,1.88 +/- 0.579,6.987 +/- 4.325
wgan_recon0.1,48.57 +/- 4.752,5.877 +/- 1.062,1.652 +/- 0.06773,2.634 +/- 0.9261,1.534 +/- 0.1337,5.34 +/- 0.6831,2.733 +/- 0.7428,2.645 +/- 0.9259,3.946 +/- 1.16,8.224 +/- 1.599
wgan_recon0,38.03 +/- 4.202,5.795 +/- 0.9918,1.67 +/- 0.06529,2.556 +/- 0.8293,1.417 +/- 0.1313,5.116 +/- 0.5601,2.66 +/- 0.6459,2.559 +/- 0.8295,3.748 +/- 1.061,7.682 +/- 1.514
NN,2.85 +/- 0.4073,6.591 +/- 1.153,1.772 +/- 0.06742,3.344 +/- 1.014,,,,,,
