variant,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
diffusion,54.72 +/- 10.49,2.733 +/- 0.06774,2.736 +/- 0.06693,1.402 +/- 0.02868,1.404 +/- 0.02849,0.006181 +/- 0.002498,0.005675 +/- 0.002301,0.00389 +/- 0.001732,0.003732 +/- 0.001763,0.00415 +/- 0.001849,0.008379 +/- 0.009304,0.001825 +/- 0.001773,0.00837 +/- 0.007971,0.00448 +/- 0.002053,0.00397 +/- 0.001728,0.007607 +/- 0.00716,0.001738 +/- 0.001755,0.006933 +/- 0.006338,0.003906 +/- 0.001783
wgan_recon0.1,75.27 +/- 24.08,2.736 +/- 0.06874,2.738 +/- 0.06848,1.403 +/- 0.0293,1.406 +/- 0.02882,0.008587 +/- 0.005293,0.00805 +/- 0.004418,0.01527 +/- 0.02447,0.01373 +/- 0.02127,0.04248 +/- 0.05944,0.0336 +/- 0.04106,0.01347 +/- 0.01155,0.03542 +/- 0.05537,0.04206 +/- 0.06326,0.04179 +/- 0.06068,0.03404 +/- 0.04656,0.01218 +/- 0.01023,0.03053 +/- 0.04051,0.03965 +/- 0.05526
wgan_recon0,108 +/- 32.26,2.736 +/- 0.06787,2.739 +/- 0.06803,1.402 +/- 0.02913,1.405 +/- 0.02871,0.006846 +/- 0.003826,0.007179 +/- 0.005078,0.01389 +/- 0.02139,0.01207 +/- 0.01691,0.04948 +/- 0.05216,0.021 +/- 0.0292,0.01229 +/- 0.0123,0.02282 +/- 0.03697,0.04953 +/- 0.05122,0.04776 +/- 0.04955,0.02028 +/- 0.02732,0.013 +/- 0.01532,0.01965 +/- 0.02602,0.04865 +/- 0.05016
