seed,total_time,mse,l1,mse_mean,mse_sd,mse_quantile_0.05,mse_quantile_0.25,mse_quantile_0.50,mse_quantile_0.75,mse_quantile_0.95
1,18.922057151794434,0.7930973768234253,0.7107965350151062,0.015618217177689075,0.027780376374721527,0.3520585000514984,0.04241209104657173,0.07905587553977966,0.030210228636860847,0.10518728196620941
2,18.795218229293823,0.797171413898468,0.7109025120735168,0.014483693987131119,0.03486141189932823,0.33474215865135193,0.06182752922177315,0.1175428181886673,0.03071390837430954,0.30715614557266235
3,19.979923963546753,0.8238058090209961,0.7046718001365662,0.01694214716553688,0.032304439693689346,0.3644055128097534,0.06522968411445618,0.09521416574716568,0.027148675173521042,0.30848705768585205
4,26.610164880752563,0.8668574094772339,0.7306947112083435,0.008899576030671597,0.034188415855169296,0.3263711631298065,0.023328442126512527,0.056085553020238876,0.03673955053091049,0.1040274053812027
5,27.02824902534485,0.7945926785469055,0.6756156086921692,0.013232789933681488,0.029277939349412918,0.3058291971683502,0.04022277519106865,0.04537040740251541,0.02660444937646389,0.05848369747400284
6,31.692986726760864,0.86288982629776,0.707665205001831,0.014246059581637383,0.0380781814455986,0.470274418592453,0.048028092831373215,0.062091533094644547,0.02387244813144207,0.13988785445690155
7,21.797459840774536,0.841752827167511,0.7076940536499023,0.025098232552409172,0.033950019627809525,0.4204556345939636,0.05117779225111008,0.08182728290557861,0.03458721190690994,0.1409817337989807
8,26.92469573020935,0.7924890518188477,0.6841081380844116,0.007753271143883467,0.02688584476709366,0.25847718119621277,0.029453782364726067,0.03215048834681511,0.027674617245793343,0.050994183868169785
9,26.637150049209595,0.8756532073020935,0.7250774502754211,0.02596268802881241,0.027741985395550728,0.3797617256641388,0.043204646557569504,0.06707708537578583,0.04466809704899788,0.11423907428979874
10,34.36415410041809,0.8340393900871277,0.7213035821914673,0.0164604764431715,0.02650320716202259,0.2973776161670685,0.04648786783218384,0.08145750313997269,0.0361025296151638,0.06540884077548981
11,23.43415594100952,0.8577643036842346,0.7159530520439148,0.0149118946865201,0.04634071886539459,0.46579524874687195,0.0443575419485569,0.09115386754274368,0.03772825002670288,0.26452741026878357
12,32.72964930534363,0.8886843323707581,0.7171425819396973,0.014734563417732716,0.0354519784450531,0.37407252192497253,0.041611481457948685,0.04811924695968628,0.029379121959209442,0.1009797602891922
13,36.461668968200684,0.8581107258796692,0.72661292552948,0.015431887470185757,0.02719452604651451,0.23968946933746338,0.034318968653678894,0.05276266112923622,0.03666238114237785,0.028655776754021645
14,39.02912473678589,0.7905477285385132,0.6908906102180481,0.011789471842348576,0.045664165169000626,0.4731021821498871,0.04104793444275856,0.04325149208307266,0.027171654626727104,0.0761684849858284
15,20.287773847579956,0.7470539808273315,0.6739217042922974,0.015334658324718475,0.031096694990992546,0.32617756724357605,0.05254720151424408,0.09634682536125183,0.031374674290418625,0.21592168509960175
16,23.444501161575317,0.829165518283844,0.7107802033424377,0.010552555322647095,0.03162965178489685,0.3864630460739136,0.024922629818320274,0.09526627510786057,0.038228489458560944,0.2140946090221405
