seed,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
1,132.23815393447876,6.695323467254639,6.6743903160095215,2.099534273147583,2.0484418869018555,0.011977432295680046,0.017899364233016968,0.043814048171043396,0.02586952969431877,0.2810804545879364,0.05329054221510887,0.017148640006780624,0.03055460937321186,0.17581219971179962,0.1368400901556015,0.06962921470403671,0.019952090457081795,0.06429281830787659,0.23614446818828583
2,163.23815393447876,6.658816814422607,6.182332992553711,2.099616289138794,1.9261640310287476,0.021270575001835823,0.01544269546866417,0.01175494585186243,0.026016101241111755,0.06500556319952011,0.032130248844623566,0.04659634083509445,0.03708391636610031,0.057219572365283966,0.16249395906925201,0.039569564163684845,0.0333242230117321,0.06198882684111595,0.2567644715309143
3,144.52981305122375,6.3137640953063965,6.919775485992432,2.0263688564300537,2.0698392391204834,0.019447583705186844,0.013820307329297066,0.03305179998278618,0.03474559634923935,0.2636992931365967,0.04417800158262253,0.03718118369579315,0.05418647080659866,0.15720641613006592,0.0755145400762558,0.046595118939876556,0.011882718652486801,0.05647376552224159,0.6045810580253601
4,104.9524347782135,6.874757766723633,6.800207138061523,2.1274943351745605,2.0119175910949707,0.03025169111788273,0.05639313533902168,0.07402469217777252,0.103265680372715,0.4443710744380951,0.13286466896533966,0.06973020732402802,0.04178158566355705,0.13349707424640656,0.21145139634609222,0.023008186370134354,0.10761520266532898,0.3751963973045349,0.9176666140556335
5,139.89565896987915,6.472002029418945,6.180327892303467,2.0519776344299316,1.94648015499115,0.012028377503156662,0.012805079109966755,0.03147825226187706,0.02943486161530018,0.15621890127658844,0.05033693090081215,0.01979081705212593,0.026149701327085495,0.20724865794181824,0.08911512792110443,0.04540865495800972,0.024000152945518494,0.05459496006369591,0.42667773365974426
6,115.46481323242188,6.644504070281982,7.131432056427002,2.095176935195923,2.132655382156372,0.021934477612376213,0.015553914941847324,0.09549137949943542,0.040228668600320816,0.7292063236236572,0.07125508040189743,0.03015008568763733,0.030605442821979523,0.28693127632141113,0.30642807483673096,0.13077493011951447,0.05957021191716194,0.162493497133255,0.11742150783538818
7,129.64490032196045,6.624579906463623,6.938416004180908,2.0942587852478027,2.0769920349121094,0.04350196197628975,0.010812736116349697,0.043765898793935776,0.030457494780421257,0.42291826009750366,0.09319189190864563,0.032435763627290726,0.05938582494854927,0.11372895538806915,0.20644842088222504,0.040208183228969574,0.03206552192568779,0.06932380795478821,0.1310570240020752
8,95.84853887557983,6.75433874130249,6.54013729095459,2.061847686767578,1.9898539781570435,0.01922032982110977,0.0702415183186531,0.2972293198108673,0.09320338070392609,2.1539387702941895,0.09951706230640411,0.03598465025424957,0.028984181582927704,0.8165202140808105,0.6645510196685791,0.05812918394804001,0.08938730508089066,0.4798998534679413,0.18680141866207123
9,95.47738218307495,6.236082077026367,7.207483291625977,1.9966652393341064,2.099966049194336,0.01189342699944973,0.03534916043281555,0.18683350086212158,0.15941058099269867,1.1931413412094116,0.07266825437545776,0.09062804281711578,0.01414643693715334,0.6533616781234741,0.9953336119651794,0.023652153089642525,0.05317103490233421,0.24326790869235992,0.6062322854995728
10,144.70739483833313,6.344398498535156,6.422155857086182,2.0425968170166016,1.9861286878585815,0.028941987082362175,0.00987035408616066,0.04784916341304779,0.021587291732430458,0.462321400642395,0.06700843572616577,0.030657634139060974,0.050955481827259064,0.16655798256397247,0.1915353387594223,0.04225168004631996,0.02481786720454693,0.08901768177747726,0.09297128021717072
11,169.2083580493927,6.187784194946289,6.930369853973389,2.0118603706359863,2.0548689365386963,0.012192406691610813,0.018175728619098663,0.014647318050265312,0.03699866309762001,0.10237632691860199,0.027575314044952393,0.016210926696658134,0.028390349820256233,0.09834282100200653,0.13034482300281525,0.029147593304514885,0.018517054617404938,0.0612303763628006,0.3994944393634796
12,106.44965887069702,6.360782146453857,6.562352180480957,2.01214337348938,2.016819953918457,0.03408652916550636,0.043655142188072205,0.09229403734207153,0.08325120806694031,0.4844760596752167,0.12950371205806732,0.08665584027767181,0.039239827543497086,0.3553098142147064,0.3807024359703064,0.08522666990756989,0.11196048557758331,0.08189761638641357,0.699082612991333
