seed,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
1,167.5833683013916,2.704832077026367,2.74521803855896,1.3870381116867065,1.4021522998809814,0.005336944479495287,0.0038391135167330503,0.04125845804810524,0.039839088916778564,0.04191198572516441,0.13466818630695343,0.014518259093165398,0.15716113150119781,0.07928171753883362,0.03984735906124115,0.09462772309780121,0.02623976208269596,0.19504323601722717,0.07608236372470856
2,144.64439511299133,2.814357042312622,2.7807626724243164,1.4238805770874023,1.4333523511886597,0.007117698900401592,0.00837050098925829,0.13099025189876556,0.11538154631853104,0.26786017417907715,0.40012672543525696,0.006978333927690983,0.28945639729499817,0.16347134113311768,0.24272789061069489,0.3190162181854248,0.03900207579135895,0.27664676308631897,0.1839217245578766
3,175.38483095169067,2.8710451126098633,2.7124545574188232,1.4594645500183105,1.3938274383544922,0.00830030906945467,0.008599437773227692,0.027387605980038643,0.02987745590507984,0.048213470727205276,0.15664972364902496,0.03973982483148575,0.054625798016786575,0.038061708211898804,0.04779282212257385,0.11200197786092758,0.03622123599052429,0.14926958084106445,0.04443801939487457
4,231.48981189727783,2.734022378921509,2.6511905193328857,1.388852596282959,1.3656067848205566,0.007881257683038712,0.015485883690416813,0.009440518915653229,0.010163038037717342,0.007992258295416832,0.029073001816868782,0.015879008919000626,0.03194277733564377,0.03490416705608368,0.0051847114227712154,0.08116261661052704,0.018373588100075722,0.034737516194581985,0.03719416633248329
5,158.87063908576965,2.7832236289978027,2.697218179702759,1.4180134534835815,1.389249563217163,0.0030648703686892986,0.0060848332941532135,0.07196775823831558,0.08957777917385101,0.10299330949783325,0.17689630389213562,0.00958500150591135,0.2218145728111267,0.14221680164337158,0.1278361827135086,0.19175897538661957,0.0484297089278698,0.2545336186885834,0.1855190545320511
6,145.79729294776917,2.7464897632598877,2.751309633255005,1.4143444299697876,1.4095158576965332,0.010959411971271038,0.004731512162834406,0.15520623326301575,0.13596412539482117,0.28858697414398193,0.38079333305358887,0.032168712466955185,0.4341060221195221,0.22855523228645325,0.22224196791648865,0.35433533787727356,0.06554826349020004,0.41679418087005615,0.2378322184085846
7,215.04879903793335,2.6676137447357178,2.7045161724090576,1.370235800743103,1.3949412107467651,0.009593568742275238,0.007105650380253792,0.01267917174845934,0.017315609380602837,0.00949035957455635,0.05535411834716797,0.05544962361454964,0.03587386757135391,0.04152436926960945,0.01640724390745163,0.049448736011981964,0.004731491208076477,0.06601156294345856,0.03666996583342552
8,214.9208369255066,2.8346595764160156,2.742330551147461,1.446622371673584,1.4052746295928955,0.010295254178345203,0.009065472520887852,0.01930486410856247,0.01407693699002266,0.011602891609072685,0.08396712690591812,0.005918296054005623,0.11481022089719772,0.04225566238164902,0.008375690318644047,0.0631767138838768,0.009678347036242485,0.09387904405593872,0.031014392152428627
9,244.2413010597229,2.773979425430298,2.8327064514160156,1.4194813966751099,1.4435687065124512,0.01153127197176218,0.0055281477980315685,0.0060247392393648624,0.009802181273698807,0.014405081048607826,0.061747245490550995,0.010146216489374638,0.051461510360240936,0.009833494201302528,0.015155968256294727,0.0424087755382061,0.006306962110102177,0.0513189472258091,0.012244424782693386
10,149.50065302848816,2.730651378631592,2.740652322769165,1.4032092094421387,1.4062854051589966,0.005982533562928438,0.002645023399963975,0.09432545304298401,0.07998844236135483,0.21827758848667145,0.3150283098220825,0.02171492390334606,0.19230392575263977,0.12941136956214905,0.21358342468738556,0.22419221699237823,0.03721997141838074,0.19158749282360077,0.11060264706611633
11,136.94262313842773,2.758500814437866,2.809267044067383,1.42399001121521,1.4369423389434814,0.012821760959923267,0.01374831609427929,0.15917624533176422,0.13881689310073853,0.24166558682918549,0.44635388255119324,0.038543928414583206,0.3825189769268036,0.3485734760761261,0.2275194525718689,0.2914501428604126,0.02343733422458172,0.4409548342227936,0.340009868144989
