seed,total_time,mse_y_1,mse_y_2,l1_y_1,l1_y_2,mse_mean_y_1,mse_mean_y_2,mse_sd_y_1,mse_sd_y_2,mse_quantile_y_1_0.05,mse_quantile_y_1_0.25,mse_quantile_y_1_0.50,mse_quantile_y_1_0.75,mse_quantile_y_1_0.95,mse_quantile_y_2_0.05,mse_quantile_y_2_0.25,mse_quantile_y_2_0.50,mse_quantile_y_2_0.75,mse_quantile_y_2_0.95
30,200.47137308120728,2.6335134506225586,2.708444356918335,1.3556880950927734,1.3910166025161743,0.0044030798599123955,0.00505896657705307,0.01431905198842287,0.012850104831159115,0.024298690259456635,0.03160844370722771,0.01653984747827053,0.034016966819763184,0.05042616277933121,0.023146849125623703,0.052889589220285416,0.01441913191229105,0.028129875659942627,0.03790948539972305
31,179.05772709846497,2.656444787979126,2.722573757171631,1.3696812391281128,1.4004216194152832,0.006359786260873079,0.006513253785669804,0.03194012865424156,0.031224727630615234,0.10203459113836288,0.11822520196437836,0.019012505188584328,0.06170171499252319,0.04528015851974487,0.11034993082284927,0.06278380751609802,0.017399072647094727,0.06868114322423935,0.04560291767120361
32,200.94401097297668,2.701108455657959,2.663339376449585,1.3837709426879883,1.3718031644821167,0.0037404089234769344,0.004848185461014509,0.01745597831904888,0.016491645947098732,0.045378677546978,0.05294943228363991,0.01711145043373108,0.06168559566140175,0.01707548461854458,0.029436020180583,0.07937387377023697,0.00692767696455121,0.05826447904109955,0.019497955217957497
33,198.2289741039276,2.706850051879883,2.723212718963623,1.3879932165145874,1.3988003730773926,0.009793245233595371,0.00974670797586441,0.014022455550730228,0.012911208905279636,0.05170266702771187,0.02764822356402874,0.010519656352698803,0.07323509454727173,0.03587135300040245,0.03740084916353226,0.039255257695913315,0.017020488157868385,0.053537026047706604,0.029386790469288826
34,227.91180896759033,2.594910144805908,2.7370364665985107,1.350251317024231,1.4155287742614746,0.01120807882398367,0.010481948964297771,0.006093907635658979,0.007638085167855024,0.02180495485663414,0.03711976483464241,0.01616545021533966,0.030447788536548615,0.007386953104287386,0.01950797811150551,0.01425211876630783,0.00664242310449481,0.04825803264975548,0.010776340030133724
35,302.09927773475647,2.762895107269287,2.7759623527526855,1.4138721227645874,1.4152668714523315,0.004292556084692478,0.009557667188346386,0.004156188108026981,0.003526724874973297,0.004826310556381941,0.010520287789404392,0.013966070488095284,0.018064027652144432,0.013027026318013668,0.005965993739664555,0.032910436391830444,0.014770446345210075,0.021086102351546288,0.009421579539775848
36,316.35861682891846,2.850172758102417,2.6285293102264404,1.445854902267456,1.3574962615966797,0.005915118381381035,0.006299952045083046,0.0032051699236035347,0.0012773685157299042,0.006309246178716421,0.01788295805454254,0.004286995157599449,0.026203421875834465,0.004389723762869835,0.00345801399089396,0.01314028911292553,0.010065888985991478,0.010315065272152424,0.00598145043477416
37,259.26040530204773,2.8322300910949707,2.663498878479004,1.4371687173843384,1.3708009719848633,0.008427310734987259,0.006078559905290604,0.003975221887230873,0.002431081375107169,0.0059972768649458885,0.02698308229446411,0.008461061865091324,0.010313672944903374,0.01277631614357233,0.0018712030723690987,0.013408852741122246,0.004517560824751854,0.01649409718811512,0.010173160582780838
38,153.87339401245117,2.707125663757324,2.7030463218688965,1.3875739574432373,1.3879759311676025,0.009747099131345749,0.020650340244174004,0.09411545097827911,0.0898561105132103,0.13070888817310333,0.33419206738471985,0.017322445288300514,0.18487277626991272,0.23793409764766693,0.14218753576278687,0.264813631772995,0.04082079976797104,0.18469877541065216,0.21857783198356628
39,233.3732419013977,2.744797468185425,2.675447940826416,1.4103511571884155,1.3794341087341309,0.005663793534040451,0.004976602736860514,0.00795452855527401,0.005077040754258633,0.020408883690834045,0.015140576288104057,0.007846180349588394,0.04415198788046837,0.009594203904271126,0.019957512617111206,0.018230345100164413,0.0035998178645968437,0.01862429827451706,0.009877634234726429
